iter	Passed	Remaining
1049	9997	1428
1050	10007	1418
1051	10015	1409
1052	10023	1399
1053	10033	1389
1054	10041	1380
1055	10050	1370
1056	10060	1361
1057	10069	1351
1058	10077	1341
1059	10086	1332
1060	10095	1322
1061	10104	1313
1062	10114	1303
1063	10122	1293
1064	10131	1284
1065	10139	1274
1066	10148	1265
1067	10156	1255
1068	10165	1245
1069	10174	1236
1070	10182	1226
1071	10191	1216
1072	10200	1207
1073	10209	1197
1074	10218	1188
1075	10226	1178
1076	10235	1168
1077	10243	1159
1078	10253	1149
1079	10262	1140
1080	10271	1130
1081	10281	1121
1082	10290	1111
1083	10299	1102
1084	10307	1092
1085	10315	1082
1086	10324	1073
1087	10333	1063
1088	10342	1054
1089	10351	1044
1090	10359	1035
1091	10368	1025
1092	10377	1015
1093	10388	1006
1094	10396	996
1095	10405	987
1096	10414	977
1097	10423	968
1098	10432	958
1099	10440	949
1100	10450	939
1101	10460	930
1102	10469	920
1103	10479	911
1104	10488	901
1105	10496	892
1106	10504	882
1107	10513	872
1108	10523	863
1109	10533	854
1110	10542	844
1111	10550	834
1112	10560	825
1113	10568	815
1114	10576	806
1115	10584	796
1116	10593	787
1117	10602	777
1118	10610	768
1119	10619	758
1120	10628	749
1121	10636	739
1122	10645	729
1123	10652	720
1124	10661	710
1125	10672	701
1126	10682	691
1127	10692	682
1128	10701	672
1129	10710	663
1130	10718	653
1131	10727	644
1132	10735	634
1133	10744	625
1134	10753	615
1135	10763	606
1136	10772	596
1137	10780	587
1138	10788	577
1139	10797	568
1140	10807	558
1141	10816	549
1142	10825	539
1143	10836	530
1144	10846	520
1145	10854	511
1146	10863	501
1147	10873	492
1148	10883	483
1149	10891	473
1150	10900	464
1151	10909	454
1152	10919	445
1153	10928	435
1154	10937	426
1155	10946	416
1156	10955	407
1157	10965	397
1158	10974	388
1159	10983	378
1160	10992	369
1161	11002	359
1162	11011	350
1163	11020	340
1164	11028	331
1165	11036	321
1166	11047	312
1167	11057	302
1168	11066	293
1169	11076	284
1170	11086	274
1171	11096	265
1172	11104	255
1173	11113	246
1174	11122	236
1175	11130	227
1176	11139	217
1177	11150	208
1178	11159	198
1179	11167	189
1180	11176	179
1181	11186	170
1182	11194	160
1183	11203	151
1184	11211	141
1185	11219	132
1186	11227	122
1187	11237	113
1188	11245	104
1189	11256	94
1190	11264	85
1191	11272	75
1192	11280	66
1193	11288	56
1194	11297	47
1195	11305	37
1196	11313	28
1197	11322	18
1198	11332	9
1199	11342	0
